statev_index,symbol_or_name,inferred_meaning,read_or_write,updated_in_umat,candidate_for_cycle_jump,classification,notes
1,p,Accumulated viscoplastic strain,read/write,yes,yes,required for restart/injection,Primary scalar cycle-evolution marker used by the current Level-1 cycle-jump predictor. It controls isotropic hardening through R = QISO*(1-exp(-BISO*p)). Source: line 110: IF (STATEV(1).GT.0.D0) THEN | line 111: RISO=QISO*(1.D0-DEXP(-BISO*STATEV(1))) | line 124: HARD=HARD+QISO*BISO*DEXP(-BISO*STATEV(1)) | line 142: IF (NSTATV.GE.1) STATEV(1)=STATEV(1)+DP | line 142: IF (NSTATV.GE.1) STATEV(1)=STATEV(1)+DP | line 154: STATEV(14)=QISO*(1.D0-DEXP(-BISO*STATEV(1)))
2,X11,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
3,X22,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
4,X33,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
5,X12,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
6,X13,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
7,X23,Backstress tensor components,read/write,yes,yes,required for restart/injection,"Read into XOLD(I), used in deviatoric overstress ETA, and updated to XNEW(I) with Armstrong-Frederick style recovery. Source: line 70: XOLD(I)=STATEV(I+1) | line 145: STATEV(I+1)=XNEW(I)"
8,Evp11,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
9,Evp22,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
10,Evp33,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
11,Evp12,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
12,Evp13,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
13,Evp23,Viscoplastic strain tensor components,read/write,yes,yes,required for restart/injection,Read into EPOLD(I) and updated to EPNEW(I)=EPOLD(I)+DP*NFLOW(I). Required to preserve the stored inelastic strain history. Source: line 75: EPOLD(I)=STATEV(I+7) | line 150: STATEV(I+7)=EPNEW(I)
14,RISO,Current isotropic hardening stress,write,yes,conditional/recomputable,diagnostic or recomputable,"Written as QISO*(1-exp(-BISO*STATEV(1))). The UMAT recomputes RISO from SDV1 before yield evaluation, so STATEV(14) is convenient output but not independent if SDV1 and material constants are known. Source: line 154: STATEV(14)=QISO*(1.D0-DEXP(-BISO*STATEV(1)))"
15,DP,Last viscoplastic multiplier increment,write,yes,no,diagnostic only,"Written at the end of each increment as the last local increment. Useful for diagnostics and output as SDV15, but not a persistent memory variable needed to reconstruct the constitutive state. Source: line 156: IF (NSTATV.GE.15) STATEV(15)=DP"
